,compound_id,target_id,standard_value
0,CHEMBL10,O00238,3300.0
1,CHEMBL10,O00329,10000.0
2,CHEMBL10,O00444,10000.0
3,CHEMBL10,O00506,10000.0
4,CHEMBL10,O00750,10000.0
5,CHEMBL10,O14578,420.0
6,CHEMBL10,O14730,10000.0
7,CHEMBL10,O14733,10000.0
8,CHEMBL10,O14757,10000.0
9,CHEMBL10,O14920,10000.0
10,CHEMBL10,O14936,10000.0
11,CHEMBL10,O14965,10000.0
12,CHEMBL10,O14976,19.0
13,CHEMBL10,O15075,10000.0
14,CHEMBL10,O15111,10000.0
15,CHEMBL10,O15146,10000.0
16,CHEMBL10,O15197,3100.0
17,CHEMBL10,O15264,10000.0
18,CHEMBL10,"O15264, Q16539, Q15759, P53778",10.0
19,CHEMBL10,O15530,10000.0
20,CHEMBL10,O43283,10000.0
21,CHEMBL10,O43293,10000.0
22,CHEMBL10,O43318,10000.0
23,CHEMBL10,O43353,24.0
24,CHEMBL10,O60285,10000.0
25,CHEMBL10,O60331,2600.0
26,CHEMBL10,O60674,10000.0
27,CHEMBL10,O75116,10000.0
28,CHEMBL10,O75385,10000.0
29,CHEMBL10,O75460,10000.0
30,CHEMBL10,O75582,10000.0
31,CHEMBL10,O75676,10000.0
32,CHEMBL10,O75716,10000.0
33,CHEMBL10,O75747,10000.0
34,CHEMBL10,O75914,10000.0
35,CHEMBL10,O76039,10000.0
36,CHEMBL10,O94768,10000.0
37,CHEMBL10,O94804,10000.0
38,CHEMBL10,O94806,10000.0
39,CHEMBL10,O94921,10000.0
40,CHEMBL10,O95382,10000.0
41,CHEMBL10,O95747,10000.0
42,CHEMBL10,O95819,3700.0
43,CHEMBL10,O95835,10000.0
44,CHEMBL10,O96013,10000.0
45,CHEMBL10,O96017,10000.0
46,CHEMBL10,P00519,10000.0
47,CHEMBL10,P00533,1700.0
48,CHEMBL10,P04049,980.0
49,CHEMBL10,P04626,10000.0
50,CHEMBL10,P04629,10000.0
51,CHEMBL10,P06213,10000.0
52,CHEMBL10,P06239,2800.0
53,CHEMBL10,P06241,10000.0
54,CHEMBL10,P07332,10000.0
55,CHEMBL10,P07333,10000.0
56,CHEMBL10,P07947,10000.0
57,CHEMBL10,P07948,10000.0
58,CHEMBL10,P07949,10000.0
59,CHEMBL10,P08069,10000.0
60,CHEMBL10,P08581,10000.0
61,CHEMBL10,P08631,10000.0
62,CHEMBL10,P08922,10000.0
63,CHEMBL10,P09619,10000.0
64,CHEMBL10,P09769,10000.0
65,CHEMBL10,P0C1S8,10000.0
66,CHEMBL10,P0C264,10000.0
67,CHEMBL10,P10721,10000.0
68,CHEMBL10,P11309,10000.0
69,CHEMBL10,P11362,10000.0
70,CHEMBL10,P11799,10000.0
71,CHEMBL10,P11802,10000.0
72,CHEMBL10,P12931,5300.0
73,CHEMBL10,P14616,10000.0
74,CHEMBL10,P15056,620.0
75,CHEMBL10,P15735,10000.0
76,CHEMBL10,P16234,10000.0
77,CHEMBL10,P16591,10000.0
78,CHEMBL10,P17612,10000.0
79,CHEMBL10,P17948,10000.0
80,CHEMBL10,P19525,10000.0
81,CHEMBL10,P19784,10000.0
82,CHEMBL10,P20794,10000.0
83,CHEMBL10,P21127,10000.0
84,CHEMBL10,P21709,10000.0
85,CHEMBL10,P21802,10000.0
86,CHEMBL10,P21860,10000.0
87,CHEMBL10,P22455,10000.0
88,CHEMBL10,P22607,10000.0
89,CHEMBL10,P22694,10000.0
90,CHEMBL10,P23443,10000.0
91,CHEMBL10,P23458,10000.0
92,CHEMBL10,P24723,10000.0
93,CHEMBL10,P24941,10000.0
94,CHEMBL10,P27037,10000.0
95,CHEMBL10,P27361,10000.0
96,CHEMBL10,P27448,10000.0
97,CHEMBL10,P28482,10000.0
98,CHEMBL10,P29317,10000.0
99,CHEMBL10,P29320,10000.0
100,CHEMBL10,P29322,10000.0
101,CHEMBL10,P29323,10000.0
102,CHEMBL10,P29376,10000.0
103,CHEMBL10,P29597,10000.0
104,CHEMBL10,P30291,10000.0
105,CHEMBL10,P30530,10000.0
106,CHEMBL10,P31152,10000.0
107,CHEMBL10,P31749,10000.0
108,CHEMBL10,P31751,10000.0
109,CHEMBL10,P32298,10000.0
110,CHEMBL10,P33981,2500.0
111,CHEMBL10,P35590,10000.0
112,CHEMBL10,P35916,10000.0
113,CHEMBL10,P35968,10000.0
114,CHEMBL10,P36507,9600.0
115,CHEMBL10,P36888,10000.0
116,CHEMBL10,P36894,10000.0
117,CHEMBL10,P36896,3000.0
118,CHEMBL10,P36897,7100.0
119,CHEMBL10,P37023,10000.0
120,CHEMBL10,P37173,1800.0
121,CHEMBL10,P41240,10000.0
122,CHEMBL10,P41743,10000.0
123,CHEMBL10,P42336,10000.0
124,CHEMBL10,P42338,10000.0
125,CHEMBL10,P42345,10000.0
126,CHEMBL10,P42679,10000.0
127,CHEMBL10,P42680,10000.0
128,CHEMBL10,P42681,4500.0
129,CHEMBL10,P42684,10000.0
130,CHEMBL10,P42685,1800.0
131,CHEMBL10,P43403,10000.0
132,CHEMBL10,P43405,10000.0
133,CHEMBL10,P45983,1100.0
134,CHEMBL10,P45984,130.0
135,CHEMBL10,P45985,10000.0
136,CHEMBL10,P46734,10000.0
137,CHEMBL10,P47811,20.0
138,CHEMBL10,P48729,75.0
139,CHEMBL10,P48730,37.0
140,CHEMBL10,P48736,10000.0
141,CHEMBL10,P49137,10000.0
142,CHEMBL10,P49336,10000.0
143,CHEMBL10,P49674,100.0
144,CHEMBL10,P49759,10000.0
145,CHEMBL10,P49760,10000.0
146,CHEMBL10,P49761,10000.0
147,CHEMBL10,P49840,10000.0
148,CHEMBL10,P49841,1700.0
149,CHEMBL10,P50613,10000.0
150,CHEMBL10,P50750,10000.0
151,CHEMBL10,P51451,10000.0
152,CHEMBL10,P51617,10000.0
153,CHEMBL10,P51812,10000.0
154,CHEMBL10,P51813,10000.0
155,CHEMBL10,P51817,10000.0
156,CHEMBL10,P51955,10000.0
157,CHEMBL10,P51956,10000.0
158,CHEMBL10,P51957,10000.0
159,CHEMBL10,P52333,10000.0
160,CHEMBL10,P52564,10000.0
161,CHEMBL10,P53350,10000.0
162,CHEMBL10,P53355,10000.0
163,CHEMBL10,P53667,10000.0
164,CHEMBL10,P53671,10000.0
165,CHEMBL10,P53778,1500.0
166,CHEMBL10,P53779,35.0
167,CHEMBL10,P54646,10000.0
168,CHEMBL10,P54753,10000.0
169,CHEMBL10,P54756,10000.0
170,CHEMBL10,P54760,10000.0
171,CHEMBL10,P54762,10000.0
172,CHEMBL10,P54764,10000.0
173,CHEMBL10,P57058,10000.0
174,CHEMBL10,P57059,10000.0
175,CHEMBL10,P57078,10000.0
176,CHEMBL10,P61075,10000.0
177,CHEMBL10,P62344,850.0
178,CHEMBL10,P68370,10000.0
179,CHEMBL10,P68400,10000.0
180,CHEMBL10,P78356,10000.0
181,CHEMBL10,P78362,10000.0
182,CHEMBL10,P78368,10000.0
183,CHEMBL10,P80192,10000.0
184,CHEMBL10,P9WI81,10000.0
185,CHEMBL10,Q00526,10000.0
186,CHEMBL10,Q00532,10000.0
187,CHEMBL10,Q00535,10000.0
188,CHEMBL10,Q00536,10000.0
189,CHEMBL10,Q00537,10000.0
190,CHEMBL10,Q02156,10000.0
191,CHEMBL10,Q02750,10000.0
192,CHEMBL10,Q02763,10000.0
